City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
372,Bathsheba,BB,80.6,13.2167,-59.5167,Atlantis Hotel
373,San Jose,US,73.71,37.3394,-121.895,The Westin San Jose
374,Kimbe,PG,84.15,-5.5502,150.1429,Kimbe Bay Hotel
375,Portland,US,81.86,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
377,Billings,US,79.5,45.7833,-108.5007,Best Western Plus Clocktower Inn
378,Mountain Home,US,79.79,43.133,-115.6912,Mountain Home Inn
380,Tres Lagoas,BR,66.22,-20.7511,-51.6783,Druds Express Hotel
381,Merauke,ID,77.38,-8.4667,140.3333,
382,Dakar,SN,77.88,14.6937,-17.4441,Redface Studios Meublés
383,Matara,LK,82.83,5.9485,80.5353,Amaloh Boutique Resort
384,Fuling,CN,89.42,29.7022,107.3919,Yingbin Hostel
385,Shangrao,CN,85.84,28.4532,117.9686,Boyue boutique Hotel
386,Aksu,CN,92.48,41.1231,80.2644,Pudong Holiday Hotel
387,Birao,CF,69.66,10.2849,22.7882,
388,Santa Isabel,BR,65.66,-23.3156,-46.2214,Chácara Sombra do Altíssimo
389,Woodward,US,81.73,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
390,Puerto Del Rosario,ES,71.35,28.5004,-13.8627,Hotel JM Puerto del Rosario
391,Mul,IN,83.32,20.0667,79.6667,Taj Mahal
393,Erzin,TR,76.01,36.9559,36.2,Artemis Otel
394,College,US,70.0,64.8569,-147.8028,Pike's Waterfront Lodge
395,Bac Giang,VN,89.67,21.2667,106.2,An Binh Hotel 2
397,Sur,OM,91.56,22.5667,59.5289,Sur Plaza Hotel
398,Ponta Delgada,PT,70.52,37.7333,-25.6667,Vila Nova Hotel
399,Takoradi,GH,73.17,4.8845,-1.7554,Raybow International Hotel
400,Buriti Dos Lopes,BR,70.84,-3.175,-41.8669,Pousada Alves
401,Juba,SS,68.18,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
403,Presidencia Roque Saenz Pena,AR,78.6,-26.7852,-60.4388,Hotel Gualok
410,Rock Sound,BS,81.84,24.9,-76.2,Rock Sound Club
412,Constantine,DZ,83.61,36.365,6.6147,Grand Hotel Cirta
414,Soto La Marina,MX,76.77,23.7667,-98.2167,Hotel Chicago
415,Dombarovskiy,RU,73.22,50.7587,59.5386,
416,Novikovo,RU,64.38,51.1537,37.8879,
418,Santa Cruz,BO,69.26,-17.8,-63.1667,Aviador Hotel Boutique
419,Alofi,NU,82.29,-19.0595,-169.9187,Taloa Heights
422,Coswig,DE,71.67,51.1333,13.5833,Landhotel Gut Wildberg
425,Lorengau,PG,84.0,-2.0226,147.2712,Lorengau Harbourside Hotel
428,Monrovia,LR,76.57,6.3005,-10.7969,Sunset Inn
430,Zarinsk,RU,76.66,53.7074,84.9493,Uyt Inn
431,Banda Aceh,ID,86.85,5.5577,95.3222,Sulthan Hotel International
432,Mokhsogollokh,RU,77.27,61.4681,128.9203,
435,San Fernando,PH,80.69,15.0286,120.6898,Maharlika Hostel
437,Wufeng,CN,71.02,27.45,104.8333,中山宾馆
439,Awbari,LY,75.43,26.5921,12.7805,فندق أوباري
441,Srednekolymsk,RU,64.92,67.45,153.6833,
443,Saint-Leu,RE,67.06,-21.15,55.2833,La Caz Oceane
444,Umm Lajj,SA,85.37,25.0213,37.2685,Moon light Furnished Units
446,Mogadishu,SO,76.35,2.0371,45.3438,Hotel Juba
447,Petropavlovsk-Kamchatskiy,RU,72.19,53.0452,158.6483,The Hotel Petropavlovsky
450,Kharhial,IN,83.46,20.2833,82.7667,Jeevan Chhaya
451,Sao Filipe,CV,73.17,14.8961,-24.4956,Hotel Xaguate
452,Bubaque,GW,78.1,11.2833,-15.8333,"Casa Dora, Bubaque"
454,Biak,ID,81.79,-0.9131,122.8766,Penginapan Kim
458,Kloulklubed,PW,84.78,7.0419,134.2556,Storyboard Beach Resort
459,Fountain,US,72.73,38.6822,-104.7008,Colorado Springs KOA Holiday
460,Kashi,CN,87.01,39.4547,75.9797,帕米尔青年旅舍
461,Mampong,GH,66.69,7.0627,-1.4001,Adom Upscale Hotel
465,Bonthe,SL,76.05,7.5264,-12.505,Bonthe Holiday Village
467,Manado,ID,93.97,1.487,124.8455,Aryaduta Hotel
468,Las Palmas,ES,68.79,28.4204,-14.0131,Casillas De Morales 59.
469,Mao,ES,77.56,39.8885,4.2658,ARTIEM Capri
